Sensor_001,Sensor_002,Sensor_003,Sensor_004,Sensor_005,Sensor_006,Sensor_007,Sensor_008,Sensor_009,Sensor_010,Sensor_011,Sensor_012,Sensor_013,Sensor_014,Sensor_015,Sensor_016,Sensor_017,Sensor_018,Sensor_019,Sensor_020,Sensor_021,Sensor_022,Sensor_023,Sensor_024,Sensor_025,Sensor_026,Sensor_027,Sensor_028,Sensor_029,Sensor_030,Sensor_031,Sensor_032,Sensor_033,Sensor_034,Sensor_035,Sensor_036,Sensor_037,Sensor_038,Sensor_039,Sensor_040,Sensor_041,Sensor_042,Sensor_043,Sensor_044,Sensor_045,Sensor_046,Sensor_047,Sensor_048,Sensor_049,Sensor_050,Sensor_051,Sensor_052,Sensor_053,Sensor_054,Sensor_055,Sensor_056,Sensor_057,Sensor_058,Sensor_059,Sensor_060,Sensor_061,Sensor_062,Sensor_063,Sensor_064,Sensor_065,Sensor_066,Sensor_067,Sensor_068,Sensor_069,Sensor_070,Sensor_071,Sensor_072,Sensor_073,Sensor_074,Sensor_075,Sensor_076,Sensor_077,Sensor_078,Sensor_079,Sensor_080,Sensor_081,Sensor_082,Sensor_083,Sensor_084,Sensor_085,Sensor_086,Sensor_087,Sensor_088,Sensor_089,Sensor_090,Sensor_091,Sensor_092,Sensor_093,Sensor_094,Sensor_095,Sensor_096,Sensor_097,Sensor_098,Sensor_099,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,Sensor_128,Sensor_129,Sensor_130,Sensor_131,Sensor_132,Sensor_133,Sensor_134,Sensor_135,Sensor_136,Sensor_137,Sensor_138,Sensor_139,Sensor_140,Sensor_141,Sensor_142,Sensor_143,Sensor_144,Sensor_145,Sensor_146,Sensor_147,Sensor_148,Sensor_149,Sensor_150,Sensor_151,Sensor_152,Sensor_153,Sensor_154,Sensor_155,Sensor_156,Sensor_157,Sensor_158,Sensor_159,Sensor_160,Sensor_161,Sensor_162,Sensor_163,Sensor_164,Sensor_165,Sensor_166,Sensor_167,Sensor_168,Sensor_169,Sensor_170
1846,0,2130706434,46,0,0,0,0,0,0,0,0,0,0,0,0,58972,0,0,0,478,776,139876,116890,37298,15022,0,0,0,0,18,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177794,18,46,0,0,58972,1596,13386,23686,na,na,na,na,na,na,na,na,36240,1845.69,177794,177794,220,0,16,17128,176860,159568,1209600,4174,2,8,0,98044.8,17395.2,42856.32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,177794,0,0,0,0,0,0,0,0,0,0,0,42,108,103036,2752,0,18,0,0,103160,324,58,0,0,30,17402,0,0,0,0,1296,874,362,255552,32324,3006,546,368980,37020,19182,1476,0,0,845700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41324,na,618,506,0,0,0,0,0,0,1160,905774,1348334,107712,4976,26,1146922,0,0,0,0,0,2115118,1853980,496948,194612,0,0,0,0,248,94,0,0,0,0,0,67796,987520,867858,444808,0,1846,664,914,16782,1342328,1005424,24,0,0,0,798496,639556,218938,155570,117448,91398,95900,248728,1948,0,2612652,1002,424,2922,18,1146922,32782,297048,197132,210940,250240,na,na,na,na,na,na,30260,41324.11,2612652,2612652,2601588,15012,8360,15026,187140,2367982,1209600,57674,0,72,0,2129565.12,0,236730.24,0,0,0,0,0,250516,1348712,693634,67584,6650,886,0,142,150,2612652,na,3780,448,42634,103352,106104,1599222,500624,11736,82,0,1410,204,1955228,378322,14,11906,0,0,2148020,1342,134,0,0,0,0,0,0,0,0,17110,34726,7096,0,0,82236,12940,299180,53984,0,0,0,0,1317360,998.82,1102,254440,293974,218270,124662,324690,357598,344462,231016,216114,2756,0,0
1832,na,204,190,0,0,0,0,0,0,140,84822,27694,0,0,0,49510,0,0,0,0,0,105698,96716,13834,6286,0,0,0,0,222,60,0,0,0,0,0,9824,83786,4372,14674,0,158,24,52,72,1426,110800,124,0,0,0,40350,52866,13470,5160,680,90,34,6,0,0,119548,6,20,184,0,49510,1136,6868,6930,na,na,na,na,na,na,na,na,13540,1832.8,119548,119548,123866,383,94,11746,119260,112656,1209600,2828,0,4,0,101025.6,0,11522.88,0,0,0,0,0,62876,46296,2928,416,140,0,0,0,4,119548,na,194,34,138,6860,2214,36484,63840,2810,82,0,322,146,101572,12844,0,22,0,54,102220,96,44,0,0,0,0,0,0,0,0,586,502,162,0,0,3388,1034,2620,588,14070,28,0,0,832820,125.88,66,12580,14030,8836,9036,28942,32388,6176,586,82,0,0,0
39632,na,260,206,0,0,0,0,0,0,22554,466390,1345038,694146,26098,0,1265030,0,246,0,0,0,2326556,2020238,513362,240942,0,0,0,0,424,234,0,0,0,0,0,36704,1832458,589484,95580,0,4962,2864,3190,3606,39222,2499242,1140,0,0,0,930686,469876,173128,150094,223272,434572,172598,0,0,0,2840890,0,224,68,0,1265030,38398,261442,250536,192180,246680,na,na,na,na,na,na,66140,39632.8,2840890,2840890,2834998,17647,21432,36462,412880,2554226,1209600,78274,0,132,0,2175990.72,0,372993.6,20,270,0,0,576,67332,440892,1151540,810608,71882,10042,1354,40,44,2840890,na,7974,864,64304,235394,229372,1432474,570438,13298,108,0,418,530,1189676,99440,0,320,0,0,2196558,2982,544,0,0,0,0,0,0,0,0,21854,29266,5040,0,0,93432,14260,909880,316496,0,0,0,0,0,1554.32,1960,393600,572650,301350,112686,188228,135388,129864,125208,513654,81598,0,0
288924,na,692,68,0,0,0,0,0,504506,4638672,6134774,4415234,932090,28534,266,8930536,30544,0,0,282500,398714,14343314,12763098,4239110,1482688,2,0,0,0,1740,842,0,0,0,0,0,628694,883074,4258788,10883520,0,16312,15820,151168,5350568,4927554,6192654,0,0,0,0,4247758,4898250,3362288,1524588,694866,456026,376784,414348,302648,376520,18868022,2822,1962,5460,4,8930536,268462,2511822,1721328,179700,166780,138140,180420,341500,375400,276020,240080,97000,288923.52,18868022,18868022,18548034,83820,65822,47382,692580,16654076,1209600,450602,0,128,0,14441813.76,0,2196429.12,na,na,0,104594,2629250,6079478,4959686,2483742,340258,49010,7998,60,502,11152,18868022,na,14772,2668,366236,1593488,714766,10425176,3491222,45720,28,0,68,208,2376798,266866,0,10,0,0,2396094,15034,3586,0,0,0,0,0,0,0,0,130372,42300,12928,18406702,6691078,465670,91658,173240,118844,4365364,43016,0,0,287923220,na,na,2321280,2259142,1222928,504202,1157858,796284,820992,7247896,323494,0,0,0
34500,na,256,246,0,0,0,0,0,0,1722,792840,1201036,296984,16698,648,1058280,0,0,0,0,0,2068374,1790048,418948,218596,0,0,3588,0,1200,248,0,0,0,0,0,0,1613954,415094,280880,0,3458,3772,4784,19890,1275468,1000970,1586,0,0,0,656640,652454,183476,140776,117688,108758,180910,268954,272,0,2487984,16,518,104,54,1058280,28422,249092,169004,194160,199300,na,na,na,na,na,na,19680,34500.12,2487984,2487984,2475812,16131,1308,2614,62600,2309928,1209600,49586,0,80,0,1997320.32,0,310377.6,0,0,0,0,0,127876,1002712,977892,185494,13518,2218,218,176,180,2487984,na,4158,624,33874,121228,127980,1201578,802172,18228,86,0,336,830,1797286,23138,0,3918,0,28,2025494,1714,308,0,0,0,0,0,0,0,0,16102,16786,4500,0,0,69582,10184,309040,60716,150944,4316,0,0,4500170,1179.3,1422,327088,397778,272076,149742,476814,361650,179322,86720,58724,14,0,0
40242,na,282,280,0,0,0,0,0,0,236,193446,2123416,414272,20506,392,1180760,0,0,0,0,0,2450034,2075674,482670,289822,0,0,0,0,206,96,0,0,0,0,0,156886,2239954,57070,298358,0,3176,3662,4902,211938,1955494,573036,60,0,0,0,1070292,543550,207122,176044,167582,171474,290510,125694,0,0,2933380,24,170,78,2,1180760,31136,240364,239886,191360,208680,na,na,na,na,na,na,75640,40241.44,2933380,2933380,2917550,17637,310,45746,506680,2752268,1209600,89264,2,92,0,2503517.76,33615.36,212843.52,0,0,0,0,0,742,867550,1570666,287590,20598,4842,280,2,6,2933380,na,4926,872,70994,194466,416070,1659714,396210,8918,98,0,436,294,182440,26358,0,159472,0,16,2516888,2798,64,0,0,40,33676,0,0,0,0,19262,114994,19526,0,0,54818,6636,33516320,3544754,0,0,0,0,241480,1377.08,1600,274618,563400,408006,257310,693152,368430,143792,43560,0,0,0,0
201724,na,462,384,0,0,0,0,0,0,5694,1888608,5714710,754026,9490,0,6364788,0,0,0,0,0,11309498,10458274,1098784,697952,0,0,0,0,1024,218,0,0,0,0,0,198880,4745118,2899382,529148,0,4144,1072,1984,25532,5587820,2750104,1868,4,0,0,2656806,1849034,1031348,1018168,1161270,628730,27172,0,0,0,12410246,0,30,402,18,6364788,139846,566514,529694,108780,107840,119680,100640,109760,108200,99000,97600,24600,201723.75,12410246,12410246,8554992,37825,106380,20496,291800,8372528,1209600,350486,0,278,0,10986116.16,0,1190536.32,0,0,0,0,0,437238,3378426,3641706,794434,88978,29060,2686,732,744,12410246,na,11152,1736,18738,662850,363158,4738630,2552610,23652,2,0,650,646,10596334,27392,0,118066,0,0,11074620,8050,396,0,0,0,0,0,0,0,0,63018,175082,32902,0,0,384058,76288,529260,175068,0,0,0,0,261070,2663.22,3202,824548,1536422,1122750,517650,987368,754350,708784,568980,1268940,82736,0,0
414938,na,1796,na,0,0,214,121246,1244248,3682160,8029132,7251422,1726178,35948,1394,0,8805004,5952,0,0,1970098,2776148,17289268,17221570,3783450,1505478,0,0,0,0,6108,2326,0,0,0,0,0,0,25768,5664520,16401654,0,36912,29490,37328,85276,833290,21069642,4,0,0,0,2346064,7299340,3581276,2514524,1669396,1076754,765408,912758,1131384,795038,23045768,86,42,420,4356,8805004,231976,1653522,2118868,194400,175140,192140,180540,191060,157420,186960,184680,21900,414937.12,23045768,23045768,23040870,194852,24378,30780,36420,22091942,1209600,0,na,na,na,19465766.4,0,2613720,na,na,194980,1598260,4634262,7751024,5985840,1789998,109652,23054,4728,144,na,0,23045768,na,15832,3652,1583854,3347252,15040396,2097380,3576,0,0,0,na,na,na,na,na,na,na,na,na,13146,4510,0,0,0,0,0,0,0,0,140184,229950,54748,45566010,5436858,808594,105296,31030580,3321828,14337702,373938,0,0,0,na,na,2046398,2252960,1349234,724556,1695970,1883930,4515620,7261144,362130,0,0,0
219892,0,2106,na,0,0,0,20258,747532,3956044,6343114,4053854,815020,97520,4698,0,6436364,0,194,0,1708402,2306132,12229218,12317232,3393632,1076490,10,0,0,0,13706,3888,0,0,0,0,0,0,0,5797796,10240244,0,75874,45012,44886,65264,179762,10710508,1955204,2961530,0,0,6251858,2582510,2250250,1336306,852926,543918,411574,384092,197736,1226870,17336720,7376,10426,8924,0,6436364,195276,1346776,2040836,360500,271120,240380,175720,190660,229680,226080,220580,109920,219892.19,17336720,17336720,17081204,90200,178282,11268,362820,16069356,1209600,0,na,na,na,12246457.92,0,3800420.16,2750,7490,210188,1080562,2196898,2014468,2699266,2340142,2414318,2157090,823706,101402,na,0,17336720,0,32922,3458,1451514,2271812,881768,5603082,5726698,66424,360,2,na,na,na,na,na,na,na,na,na,22780,548,0,0,0,0,0,0,0,0,138622,56060,18032,0,0,526492,80294,15255860,2190986,0,0,0,0,78620010,na,8946,3911920,2542304,1177280,482752,1406722,3212448,1736918,1507752,59912,32,0,0
40266,na,318,282,0,0,0,0,0,111550,1150590,1040036,92182,3832,0,0,1058172,0,78,0,60330,84570,2090272,1903122,449170,193832,0,0,0,0,340,1486,0,0,0,0,0,0,27712,1547170,823308,0,1158,578,922,1210,15064,2379258,0,0,0,0,494362,871792,287454,186674,122648,84404,58266,79462,173670,39458,2600280,522,768,1396,0,1058172,24784,240256,206826,197100,216980,na,na,na,na,na,na,30440,40265.93,2600280,2600280,2597686,14817,0,15190,175660,2398190,1209600,54700,4,64,0,1992312,19345.92,384440.64,0,330,0,12246,525990,1375650,422392,52088,7158,2424,242,0,16,22,2600280,na,3112,402,27882,298628,76142,607888,1349190,33992,954,0,206,3262,2013592,199828,0,802,0,0,2019798,2234,266,0,0,930,19894,0,0,0,0,14922,43032,10540,8278420,886474,58120,7980,2060400,209650,2500928,28208,0,0,265970,695.82,788,417838,222348,179812,122042,185590,143478,526948,600084,50,0,0,0
40024,na,996,na,0,0,0,0,0,0,62816,1294842,1306732,168570,1312,0,1370896,0,0,0,0,0,2661828,2374978,400658,206850,0,0,0,0,1440,238,0,0,0,0,0,37922,1245538,1226662,324150,0,3584,850,1008,892,82608,2745320,10,0,0,0,929648,655570,254640,186826,159338,158428,298980,190842,0,0,3063466,0,78,94,268,1370896,41704,211962,187768,146620,182520,na,na,na,na,na,na,63500,40024.65,3063466,3063466,3082338,14427,119306,59564,633020,2834272,1209600,0,na,na,na,2417126.4,0,411314.88,0,720,0,0,126,263294,1114488,1114826,293572,36176,10550,1240,na,0,3063466,na,6696,836,4380,276746,210930,1671060,656362,7256,6,0,na,na,na,na,na,na,na,na,na,3120,114,0,0,0,0,0,0,0,0,21454,35288,6618,0,0,126416,20680,4616620,573266,0,0,0,0,415410,1709.16,1814,440680,671582,370700,170440,294622,261536,205318,164042,248654,6698,0,0
38766,na,426,88,0,0,0,0,0,5308,703662,1310974,166874,1408,14,0,1122122,0,0,0,13740,24160,2076642,1924916,511182,120884,0,0,0,0,76,714,0,0,0,0,0,3720,83634,1429514,671372,0,4096,1114,2064,4352,28368,2148210,36,0,0,0,338052,976346,340280,166476,94850,62798,48050,107248,53710,430,2601884,698,624,114,0,1122122,25950,387744,122758,222360,255960,na,na,na,na,na,na,29000,38766.84,2601884,2601884,2604762,12443,1604,15850,178420,2188240,1209600,66992,0,108,0,2040620.16,0,142434.24,8,618,0,0,302542,1172544,636446,58422,12998,4666,622,0,42,52,2601884,na,5046,442,2624,76764,51112,729502,1294490,28112,148,0,254,1228,1924336,627698,0,4902,0,0,2054040,1340,394,0,0,0,0,0,0,0,0,11984,16184,3820,4957310,552736,71048,11102,332340,58922,2556936,29088,0,0,0,1468.58,1094,159356,310604,243750,94956,196010,220648,878326,75614,8976,0,0,0
18,na,0,0,0,0,0,0,0,0,726,8642,2220,0,0,0,4080,0,46,0,0,0,15724,13702,8658,682,0,0,0,0,8,10,0,0,0,0,0,0,0,1554,10034,0,50,22,24,44,1510,9938,0,0,0,0,10118,518,236,54,36,28,80,30,454,34,24418,0,4,2,0,4080,178,5378,3250,na,na,na,na,na,na,na,na,8500,18.26,24418,24418,27910,34,0,2376,24180,11588,1209600,438,2,2,0,3315.84,0,7217.28,0,12,0,0,30,8260,2224,1074,0,0,0,0,0,6,24418,na,1068,6,28,20,2746,7572,148,0,0,0,0,18,3692,128,0,0,0,0,3932,74,66,0,0,0,0,0,0,0,0,188,0,0,1534,546,56,48,7300,730,52,26,0,0,0,34.1,38,8500,2760,94,22,44,54,34,80,0,0,0,0
120332,na,1256,1176,0,0,0,0,0,0,23730,2205048,5543594,1541016,128774,5584,3984806,4914,0,0,0,0,8632396,7701422,1199414,738290,0,0,0,0,780,1994,0,0,0,0,0,0,6635456,1339566,1472724,0,12030,6616,7006,376564,6418746,2626204,580,0,0,0,4101912,2354446,1192444,816934,544158,349806,88046,0,0,0,9834738,0,114,72,16,3984806,120130,579018,615728,142360,134200,141540,149780,126460,143620,134920,185740,14600,120332.27,9834738,9834738,9867818,42465,6768,1590,127280,9447746,1209600,286550,4,206,0,7711668.48,0,1727309.76,0,0,0,0,0,695218,3651552,3746868,1165020,162484,25094,1510,4,10,9834738,na,19440,2564,387032,1293198,476774,4495314,2719888,53398,138,0,708,4238,7672136,13520,0,370,0,18,7867254,7778,870,0,0,0,0,0,0,0,0,61536,65032,16854,0,0,363284,62228,75680,17348,0,0,0,0,1225200,5311.12,5666,1867088,2095848,1436236,503922,1085434,1092430,811430,368958,186364,36,0,0
