class,Sensor_001,Sensor_002,Sensor_003,Sensor_004,Sensor_005,Sensor_006,Sensor_007,Sensor_008,Sensor_009,Sensor_010,Sensor_011,Sensor_012,Sensor_013,Sensor_014,Sensor_015,Sensor_016,Sensor_017,Sensor_018,Sensor_019,Sensor_020,Sensor_021,Sensor_022,Sensor_023,Sensor_024,Sensor_025,Sensor_026,Sensor_027,Sensor_028,Sensor_029,Sensor_030,Sensor_031,Sensor_032,Sensor_033,Sensor_034,Sensor_035,Sensor_036,Sensor_037,Sensor_038,Sensor_039,Sensor_040,Sensor_041,Sensor_042,Sensor_043,Sensor_044,Sensor_045,Sensor_046,Sensor_047,Sensor_048,Sensor_049,Sensor_050,Sensor_051,Sensor_052,Sensor_053,Sensor_054,Sensor_055,Sensor_056,Sensor_057,Sensor_058,Sensor_059,Sensor_060,Sensor_061,Sensor_062,Sensor_063,Sensor_064,Sensor_065,Sensor_066,Sensor_067,Sensor_068,Sensor_069,Sensor_070,Sensor_071,Sensor_072,Sensor_073,Sensor_074,Sensor_075,Sensor_076,Sensor_077,Sensor_078,Sensor_079,Sensor_080,Sensor_081,Sensor_082,Sensor_083,Sensor_084,Sensor_085,Sensor_086,Sensor_087,Sensor_088,Sensor_089,Sensor_090,Sensor_091,Sensor_092,Sensor_093,Sensor_094,Sensor_095,Sensor_096,Sensor_097,Sensor_098,Sensor_099,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,Sensor_128,Sensor_129,Sensor_130,Sensor_131,Sensor_132,Sensor_133,Sensor_134,Sensor_135,Sensor_136,Sensor_137,Sensor_138,Sensor_139,Sensor_140,Sensor_141,Sensor_142,Sensor_143,Sensor_144,Sensor_145,Sensor_146,Sensor_147,Sensor_148,Sensor_149,Sensor_150,Sensor_151,Sensor_152,Sensor_153,Sensor_154,Sensor_155,Sensor_156,Sensor_157,Sensor_158,Sensor_159,Sensor_160,Sensor_161,Sensor_162,Sensor_163,Sensor_164,Sensor_165,Sensor_166,Sensor_167,Sensor_168,Sensor_169,Sensor_170
neg,20,2,34,26,0,0,0,0,0,0,4,3434,2398,0,0,0,2058,0,74,0,0,0,9016,7178,10160,244,0,0,0,0,46,16,0,0,0,0,0,0,0,0,5836,0,1302,8,14,12,56,3518,926,0,0,0,4000,516,386,92,574,122,132,12,2,0,19208,2,0,0,0,2058,172,8836,1306,na,na,na,na,na,na,na,na,10000,20.13,19208,19208,22360,29,380,1830,18940,5880,1209600,340,0,0,0,2488.32,112.32,2196.48,0,12,0,0,0,2246,3450,124,16,0,0,0,2,6,19208,0,1270,8,14,14,172,1096,2368,862,32,0,66,24,1618,46,0,2,0,0,2614,36,100,0,0,0,0,0,0,0,0,166,0,0,2676,508,160,34,3460,676,0,36,0,0,0,79.12,38,3580,1804,208,24,50,42,52,76,0,0,0,0
neg,41582,na,1298,1116,0,0,0,0,0,0,87322,1595208,800900,95104,3984,0,1224720,0,0,0,198,624,2442518,2253738,292530,148276,0,0,0,0,776,244,0,0,0,0,0,24762,979562,353048,1225146,0,1146,504,810,138554,1780254,660692,558,0,0,0,704906,636794,330284,291282,242462,185190,145728,45872,0,0,2735742,0,48,366,18,1224720,23856,192332,99628,94800,164820,na,na,na,na,na,na,28800,41581.09,2735742,2735742,2746604,12456,45228,28950,311300,2582518,1209600,76944,0,60,0,2310302.4,0,270250.56,0,0,0,0,4392,611000,1234604,601590,115962,11422,3354,194,2,6,2735742,na,2776,490,16028,214428,112856,2013328,215360,7252,0,0,2564,648,2114564,83360,0,94,0,22,2320192,1592,232,0,0,0,0,0,0,0,0,11838,28212,6950,0,0,74050,11902,446360,84204,0,0,0,0,2644360,772.42,886,286988,431686,289458,143402,342050,538792,345084,127926,76062,1070,0,0
neg,1940,0,0,8,0,0,0,0,0,0,22,98258,81136,1940,0,0,83954,0,122,0,0,0,208084,179778,154404,17664,0,0,0,0,0,0,0,0,0,0,0,0,10306,160814,10236,0,1342,1008,1118,2328,1974,150864,22722,0,0,0,116278,19924,13924,8746,5918,4316,4490,5388,2132,240,362574,0,0,0,0,83954,2044,129472,24496,na,na,na,na,na,na,na,na,153300,1939.32,362574,362574,358336,691,0,35462,361480,181658,1209600,0,2,18,0,128195.52,25657.92,26468.16,90,140,0,0,0,24660,120008,32950,3108,460,140,30,6,0,362574,0,1772,126,14138,4960,12652,114824,28518,4208,158,0,2,30,129188,59982,0,0,0,0,129822,0,0,0,0,0,0,0,0,0,0,1416,0,0,0,0,0,0,0,0,184,0,0,0,0,3.42,288,55650,33980,22588,21054,9042,17762,19670,1594,0,16,0,0
neg,2454,na,188,166,0,0,0,0,0,0,132,94200,57812,5150,0,0,65634,0,0,0,0,0,160094,144526,161896,8338,0,0,0,0,176,202,0,0,0,0,0,5898,106818,29370,15208,0,256,44,102,84,5196,151598,14,0,0,0,69048,64774,15078,6474,1184,426,174,136,0,0,322052,2,684,28,0,65634,1532,151304,10478,na,na,na,na,na,na,na,na,161180,2454.67,322052,322052,326104,495,3692,31792,321160,157294,1209600,4952,2,12,0,139313.28,0,17738.88,0,0,0,0,0,73338,59528,21508,2362,458,100,0,6,12,322052,na,436,72,118,3462,5234,34186,106476,7206,104,0,298,488,126626,62040,0,52,0,10,140812,202,48,0,0,0,0,0,0,0,0,1060,324,200,0,0,3744,592,52060,8144,0,0,0,0,1019890,200.58,164,19488,28370,12166,6906,13156,68708,3022,1556,3868,54,0,0
neg,40840,na,96,76,0,0,0,0,0,0,81400,1066458,1162688,82998,1952,0,1265942,0,0,0,0,0,2197348,1943502,574958,212100,0,0,0,0,424,182,0,0,0,0,0,188628,1426948,640906,139014,0,2938,2472,5790,3420,51110,2329056,710,0,0,0,679284,677016,193446,147074,116930,95772,94824,362936,28210,4,2772762,3342,3926,342,0,1265942,34026,429632,142722,190160,235920,na,na,na,na,na,na,144920,40840.93,2772762,2772762,2778462,16233,1276,33062,348940,2395496,1209600,65380,0,62,0,2252913.6,0,140804.16,52,686,0,0,5264,328662,1073714,872350,104880,8108,2318,200,6,10,2772762,na,2960,456,40418,72284,90240,1731062,445496,12316,264,0,160,532,2083732,394484,0,62780,0,0,2264218,1080,112,0,0,0,0,0,0,0,0,18368,45006,7216,0,0,106302,12554,624000,66582,0,0,0,0,840950,844.04,898,153670,313020,241684,164808,630404,838740,51940,582,626,22,0,0
neg,31972,na,1330,1070,0,0,0,0,0,0,828,173270,1308236,505618,28908,3090,912796,0,0,0,0,0,1810706,1581526,317542,199444,0,0,1070,0,3780,394,0,0,0,0,0,29682,623680,1216888,149696,0,2216,664,2860,77800,1466582,469806,18,0,0,0,624542,424302,161854,131474,118462,130866,176812,248026,3606,0,2128618,30,126,152,44,912796,25014,161802,154776,189220,na,na,na,na,na,na,na,125020,31972.49,2128618,2128618,2137430,15777,74,89758,915420,2019962,1209600,61690,0,104,0,1797723.84,17.28,219281.28,0,0,0,0,0,60582,478898,1050460,415324,11840,2610,230,4,20,2128618,na,3512,374,25474,136244,95644,1301160,446408,11068,60,0,1970,1208,1789490,43906,12,4846,0,0,1816408,1578,172,0,0,0,54,0,0,0,0,12734,25130,4548,0,0,56912,9688,52180,6448,0,0,0,0,2023770,659,772,233668,389714,275888,123592,220598,207562,178194,156750,228234,5746,0,0
neg,253724,na,1676,454,0,0,0,0,0,492,729626,5728070,7805536,1814566,87584,1806,8310992,0,0,0,7426,16658,14461032,12832768,2496944,1352640,0,0,0,0,2202,704,0,0,0,0,0,479000,9896842,3137370,2654468,0,13024,5690,7306,19766,329204,15784200,8470,16,2,2,5061868,3794656,1272264,1004856,859212,822904,1291870,2022042,37856,152,16967970,620,1404,834,26,8310992,224090,1327340,1162722,156240,171920,140680,176740,144060,154380,151140,133140,140,253724.99,16967970,16967970,16928696,118086,52854,101664,2580,16167680,1209600,476886,0,164,0,14100847.68,0,2053294.08,76,2106,0,0,81970,1875138,6015388,6589620,1504828,85770,14360,606,94,3622,16967970,na,20564,2644,200814,1160454,871780,10338220,3493738,78826,640,0,1484,416,6044784,13700,0,454326,0,0,7295700,10108,1918,0,0,0,40,0,0,0,0,114906,268714,48462,0,0,428330,64396,5894280,1047634,0,0,0,0,32196540,4616.68,5874,2171454,2727446,2229232,1022298,2144112,1925740,1506442,979760,1342872,118324,0,0
neg,30818,na,774,624,0,0,0,0,0,0,8260,648440,1218510,242452,13194,422,943262,12668,0,0,0,0,1659940,1175194,598986,415698,0,0,9384,0,2754,462,0,0,0,0,0,11944,1082342,700216,336776,0,1932,746,1124,155718,1362800,608896,62,0,0,0,900310,381898,161088,111362,83856,73788,85386,329672,3918,0,2259584,120,802,590,2,943262,38516,226410,370208,305720,na,na,na,na,na,na,na,287340,30817.43,2259584,2259584,2236766,14400,470,99430,1043440,2131278,1209600,53674,0,124,0,1748811.84,10500.48,370009.92,0,0,0,0,0,175174,822010,1017518,104030,10180,2244,122,140,144,2259584,na,4086,600,28404,221824,108650,1311882,439312,16434,86,0,1042,1348,1716866,100740,16,17012,0,0,1773696,2472,88,0,0,0,10514,0,0,0,0,25878,18078,4800,0,0,55704,12694,83640,8788,0,0,0,0,0,1194.98,1320,403682,349816,211896,112548,248956,304754,343216,141470,14940,0,0,0
neg,60154,na,1002,944,0,0,0,0,0,0,20376,962110,2650910,1030982,155620,21554,1999192,0,0,0,0,0,4311922,3744618,860900,469948,0,0,2824,0,1994,364,0,0,0,0,0,145872,3014588,765736,915356,0,5098,7740,15098,295482,3611248,906406,470,8,2,0,1954298,838934,305476,251284,209388,194056,335598,681128,71316,74,5173870,300,1798,866,84,1999192,48100,365998,491062,238160,177580,198100,174520,na,na,na,na,61440,60154.62,5173870,5173870,5111364,35504,7398,26282,323860,4841552,1209600,154198,12,168,0,3608243.52,0,1229077.44,0,0,0,0,32,138614,1584256,2161916,883804,65138,7452,340,506,712,5173870,na,8188,916,83516,517784,298560,3035518,873996,22934,140,0,1264,1068,3262024,129440,0,40750,0,32,3709452,4570,486,0,0,0,0,0,0,0,0,29278,74088,12558,0,0,124362,21014,955600,126816,4126420,2690,0,0,1508440,2043.28,2382,1280394,875144,582458,315810,627540,582820,399360,136510,41046,470,0,0
neg,1094,2,28,26,0,0,0,0,0,0,36818,41174,19758,0,0,0,34912,0,0,0,150,368,72830,54574,45136,7368,0,0,0,0,78,52,0,0,0,0,0,0,0,60792,36958,0,17728,160,214,350,1470,77828,0,0,0,0,43152,27150,8378,4530,3154,1356,2346,2178,690,4816,118232,16,14,24,2,34912,1326,26664,16848,na,na,na,na,na,na,na,na,43280,1093.65,118232,118232,134448,572,54,10846,116900,97922,1209600,2072,0,12,0,61998.72,0,18567.36,4,60,0,0,7918,20880,23554,32520,12834,42,2,0,0,4,118232,0,17574,84,1320,1316,2362,30640,42084,2268,102,0,82,94,61988,14896,0,0,0,0,64372,230,146,0,0,0,314,0,0,0,0,1316,660,84,0,0,1616,402,2520,276,0,0,0,0,93730,252.56,198,21278,11330,6236,3144,25250,22438,3216,4828,30,0,0,0
neg,44706,na,2130706442,2860,0,0,0,0,0,0,1232,221718,2046390,885872,76728,7278,1348826,0,52,0,0,0,2993216,2715546,413856,217754,0,0,4452,0,5296,888,0,0,0,0,0,104742,1459900,879374,795202,0,10762,6380,12116,102168,2649352,458402,36,0,2,0,1068666,934426,271984,196176,167986,148508,151852,236256,62276,1088,3407632,1404,2786,640,10,1348826,26654,210750,201728,112840,193420,na,na,na,na,na,na,101200,44705.66,3407632,3407632,3376012,23235,1854,94594,981180,3239218,1209600,108806,4,134,0,2834314.56,0,402130.56,112,1016,0,0,0,21080,390550,1674114,1065336,80738,6824,576,6,10,3407632,na,3260,640,197690,249836,2318996,467560,1236,0,0,0,3094,1370,2644402,252240,0,26670,0,12,2899006,2148,590,0,0,0,0,0,0,0,0,16042,75704,20556,8049888,1306486,67840,8396,15742080,1594694,204194,15330,0,0,5847180,979.14,1364,421230,709650,526134,288134,647078,413720,122076,52476,57972,748,0,0
neg,14,0,36,na,0,0,0,0,0,0,2074,2632,2230,0,0,0,1940,0,0,0,386,578,6224,2722,16524,1156,0,0,0,0,8,10,0,0,0,0,0,0,0,0,6936,0,88,14,14,114,846,276,5584,0,0,0,5424,516,178,72,34,44,348,82,132,106,23176,0,0,0,0,1940,176,13120,3196,na,na,na,na,na,na,na,na,16120,14.42,23176,23176,23608,29,0,2150,22840,7008,1209600,318,na,na,na,2607.36,0,3392.64,0,10,0,0,1290,1756,2982,264,644,0,0,0,na,6,23176,0,1024,18,18,12,266,864,3382,1338,14,0,na,na,na,na,na,na,na,na,na,50,16,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,48,4440,2160,194,30,64,10,8,30,0,0,0,0
neg,32784,na,1006,886,0,0,0,0,0,0,1288,12758,1416812,705264,24262,208,947336,0,0,0,0,0,1896178,1632320,585824,224490,0,0,0,0,2118,436,0,0,0,0,0,3420,194148,992074,970950,0,4418,5940,7528,96806,1711116,334784,0,0,0,0,730282,637654,244556,169848,123584,85042,65274,102400,1952,0,2482372,976,1916,642,6,947336,31814,411354,172746,195360,375420,na,na,na,na,na,na,10740,32784.87,2482372,2482372,2489216,11908,50,3474,57980,2160592,1209600,65368,0,96,0,1879839.36,0,279154.56,0,0,0,0,0,110,428924,1428016,285522,14660,3312,48,6,14,2482372,na,2942,452,10422,188410,90386,1342274,515448,9912,346,0,1480,1326,1870962,316458,10,2508,0,0,1890236,1304,208,0,0,0,0,0,0,0,0,15944,24268,5470,0,0,92420,14228,21300,2486,0,0,0,0,2784870,701.52,854,294948,378186,233664,129604,323364,440372,265482,82624,12348,0,0,0
neg,39468,na,182,156,0,0,0,0,0,0,54956,1127796,1435320,283126,17980,1392,1281568,0,0,0,208,434,2707802,2430850,480542,216754,0,0,0,0,260,64,0,0,0,0,0,105826,1262932,680440,871372,0,1796,604,996,35842,1422046,1453082,6204,0,0,0,1109486,744918,323584,240044,194702,165704,101324,37724,3084,0,3189146,100,668,542,30,1281568,32148,311246,168550,152720,210520,na,na,na,na,na,na,111760,39467.78,3189146,3189146,3157512,15246,2960,73362,763560,2920570,1209600,87602,2,90,0,2533229.76,0,385324.8,0,0,0,0,5616,466540,1323820,953064,161968,8444,1108,10,4,12,3189146,na,3966,488,44686,200186,143282,2134294,362988,30106,568,6,212,208,2512984,100492,0,63572,0,16,2583462,1824,228,0,0,0,0,0,0,0,0,16530,36644,7002,0,0,103226,14676,166920,23054,0,0,0,0,1107420,1160.82,1226,410960,587930,580416,313818,529932,360528,91444,26728,18622,192,0,0
neg,356076,na,0,na,0,0,0,0,0,0,85030,2107880,14135314,5217178,19324,0,10754542,742,0,0,546,1484,18730186,16179484,4262080,2104940,0,0,0,0,0,0,0,0,0,0,0,0,2328542,17691902,1544282,0,17822,10044,18578,84236,12758072,8675140,830,4,0,0,7378750,3775224,1931144,1448026,1217526,1157742,1339836,2230760,1020436,65282,22997014,266,364,1814,96,10754542,266626,2076760,2149076,214600,225160,226580,190420,205140,192900,220620,159300,212740,356075.63,22997014,22997014,22646830,159424,778900,84870,1172300,21564726,1209600,0,na,na,na,19482428.16,0,2060853.12,na,na,0,0,4016,839750,7835190,11135776,1593702,131336,24398,558,na,0,22997014,na,19330,3680,665340,1155194,1123782,15690358,2872104,34938,0,0,na,na,na,na,na,na,na,na,na,13788,300,0,0,0,0,0,0,0,0,159796,336118,57188,0,0,760074,115298,29161820,5649010,0,0,0,0,91352260,na,na,2179080,4102872,2485330,1182754,2669114,2538940,2072244,1414164,2746824,173404,0,0
neg,39714,na,2130706448,1224,0,0,0,0,0,0,386,31322,1707998,1378352,77830,1376,1459194,0,0,0,0,0,2469642,1720104,874568,690000,0,0,0,0,1382,1000,0,0,0,0,0,53096,632142,1287382,1224644,0,2882,1594,1338,1760,118252,3068900,2538,0,0,0,1374056,950210,299302,183394,174532,201140,14630,0,0,0,3344568,0,458,368,10,1459194,77204,266632,603152,351060,269760,na,na,na,na,na,na,248240,39714.23,3344568,3344568,3328312,14789,16232,87750,919680,3197264,1209600,113704,2,52,0,2712433.92,0,483066.24,0,750,0,0,0,234,385262,1488370,1218844,95580,8292,682,34,42,3344568,na,3938,486,124002,300642,144178,2129304,484764,9798,152,0,1340,1502,666836,91568,0,134856,0,12,2733922,2446,250,0,0,0,0,0,0,0,0,58370,51204,15238,0,0,108478,16704,47041440,4866852,0,0,0,0,346600,1425.38,1258,503580,791884,516812,291512,972232,121072,154,12,6,0,0,0
